lat,lon,date,Max temp,Min temp,Total Precip,Max daily precip,Rain days,Max sustained wind
-45.795465,166.60552,2022-08-06,56℉,53℉,0.21in,0.21in,1.0,27mph
-37.577245,176.180547,2022-08-07,61℉,53℉,0.01in,0.01in,1.0,11mph
-37.577245,176.180547,2022-08-07,61℉,53℉,0.01in,0.01in,1.0,11mph
-45.814105,170.627285,2022-08-07,53℉,37℉,0.47in,0.47in,1.0,17mph
-35.90139873,174.5486527,2022-08-07,72℉,54℉,0.45in,0.45in,1.0,13mph
-43.607624,172.689698,2022-08-07,63℉,40℉,0.27in,0.27in,1.0,27mph
-43.580001,172.841878,2022-08-07,63℉,39℉,0.31in,0.31in,1.0,30mph
-41.382094,174.714944,2022-08-08,48℉,45℉,0.96in,0.96in,1.0,43mph
-41.282865,174.007825,2022-08-09,49℉,44℉,0.31in,0.31in,1.0,26mph
-41.281198,174.782159,2022-08-09,51℉,47℉,1.0in,1.0in,1.0,34mph
-46.590017,168.334171,2022-08-10,48℉,24℉,0.03in,0.03in,1.0,10mph
-38.07,176.31,2022-08-10,58℉,42℉,0.01in,0.01in,1.0,10mph
-37.639579,176.166289,2022-08-11,58℉,44℉,0in,0in,0,13mph
-36.836493,174.792996,2022-08-12,53℉,40℉,0in,0in,0,17mph
-41.241464,174.216083,2022-08-13,52℉,40℉,0in,0in,0,14mph
-41.27435,174.788823,2022-08-13,52℉,39℉,0in,0in,0,18mph
-36.868541,174.901469,2022-08-13,57℉,47℉,0.08in,0.08in,1.0,11mph
-37.603007,177.716906,2022-08-14,58℉,38℉,0in,0in,0,17mph
-43.415865,172.64406,2022-08-16,62℉,47℉,0.01in,0.01in,1.0,15mph
-36.750383,174.827647,2022-08-16,63℉,55℉,0.01in,0.01in,1.0,23mph
-37.63634,176.161995,2022-08-16,62℉,50℉,0.02in,0.02in,1.0,15mph
-38.616956,176.141354,2022-08-16,55℉,44℉,0.01in,0.01in,1.0,17mph
-46.589943,168.334131,2022-08-16,63℉,36℉,0.05in,0.05in,1.0,6.9mph
-45.767269,166.52058,2022-08-16,60℉,50℉,0.09in,0.09in,1.0,26mph
-38.06149991,176.3020535,2022-08-17,62℉,56℉,0.03in,0.03in,1.0,19mph
-37.455694,176.084111,2022-08-18,62℉,61℉,1.1in,1.1in,1.0,18mph
-36.874461,174.902627,2022-08-18,63℉,61℉,1.2in,1.2in,1.0,31mph
-41.2531615,174.0306687,2022-08-18,60℉,56℉,1.3in,1.3in,1.0,33mph
-36.786114,174.673074,2022-08-20,68℉,57℉,0.17in,0.17in,1.0,26mph
-37.661452,176.175386,2022-08-21,66℉,53℉,0in,0in,0,14mph
-41.280902,174.85588,2022-08-21,62℉,57℉,0.17in,0.17in,1.0,22mph
-39.057107,174.036005,2022-08-22,59℉,49℉,1.8in,1.8in,1.0,19mph
-39.6438889,173.3158333,2022-08-22,57℉,56℉,0.12in,0.12in,1.0,15mph
-41.273247,174.788446,2022-08-23,58℉,52℉,0.12in,0.12in,1.0,21mph
-33.8651,151.2271,2022-08-23,72℉,45℉,0.59in,0.59in,1.0,24mph
-36.842238,174.765558,2022-08-25,61℉,53℉,0.84in,0.84in,1.0,26mph
-36.836931,174.801913,2022-08-26,62℉,56℉,0.40in,0.40in,1.0,25mph
-39.483276,176.8920922,2022-08-26,61℉,42℉,0.91in,0.91in,1.0,15mph
-35.263631,174.120073,2022-08-26,66℉,54℉,0.02in,0.02in,1.0,17mph
